Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1745255557.3548772,76,1403636584,866881370,,4.755413138720287,-1.811984012474137,1.14715474509803
1745255557.3982425,77,1403636584,966881275,,4.756524272207972,-1.813495476958571,1.203267924478227
1745255557.4867768,78,1403636585,20881175,,4.758581468543909,-1.814599783419771,1.226745057154239
1745255557.530762,79,1403636585,68881273,,4.760190846445833,-1.815590392837239,1.243184504808029
1745255557.5748699,80,1403636585,119881391,,4.761406292204544,-1.816520796367614,1.252603051362976
1745255557.6188846,81,1403636585,170881271,,4.761352881070118,-1.816925603728179,1.254555468985013
1745255558.179358,82,1403636585,667881250,,4.760862409454133,-1.808330248934501,1.043443266951815
1745255558.2231328,83,1403636585,767881393,,4.763187402041441,-1.805150778464306,1.001054257430079
1745255558.267226,84,1403636585,818881273,,4.767148620684902,-1.804410645421119,0.985146862839568
1745255558.309796,85,1403636585,867881298,,4.772223424932927,-1.804655284894829,0.973412054211754
1745255558.353694,86,1403636585,916881322,,4.774765481852003,-1.804123753983758,0.965464406466657
1745255558.398676,87,1403636585,967881202,,4.778502189393915,-1.804249485157304,0.960879894094719
1745255558.4485352,88,1403636586,18881320,,4.78250335228512,-1.804492466330683,0.959052570476877
1745255558.5300415,89,1403636586,68881273,,4.786520404135235,-1.805347370861927,0.959411052432813
1745255558.574807,90,1403636586,120881319,,4.787684976874025,-1.80557011453385,0.960953023998948
1745255558.6190715,91,1403636586,169881343,,4.787709407582436,-1.806135077613918,0.963066838338099
1745255558.6795251,92,1403636586,219881296,,4.787107775655029,-1.808328099963981,0.965087736949384
1745255558.7240453,93,1403636586,268881320,,4.786110852655585,-1.809202650805637,0.968754523954005
1745255558.7679503,94,1403636586,319881200,,4.784721827152162,-1.811128502441659,0.972500004790262
1745255558.81626,95,1403636586,368881225,,4.784329760397688,-1.813105919771828,0.9757468980094
1745255558.9312754,96,1403636586,467881202,,4.786995185561154,-1.816058011822302,0.980881289549893
1745255558.9706616,97,1403636586,518881320,,4.789130292275974,-1.816665795596255,0.982874213526961
1745255559.0147088,98,1403636586,567881345,,4.792314299467057,-1.817239853043277,0.984515925073045
1745255559.0631516,99,1403636586,617881298,,4.79468544655672,-1.81708787362961,0.986042030803779
1745255559.112269,100,1403636586,666881322,,4.798312791868765,-1.816528111468376,0.987830253553796
1745255559.178743,101,1403636586,718881368,,4.801391146489253,-1.814704040192773,0.990079431619152
1745255559.2671864,102,1403636586,766881227,,4.804834408425071,-1.811916117511608,0.992368464900588
